customer_id,gender,birth_year,city,loyalty_tier,signup_date
LC000250,Male,2001,Tagum,Platinum,8/16/2025
LC000251,Female,2004,Quezon City,Silver,6/10/2024
LC000252,Female,1968,Mandaue,Silver,8/16/2020
LC000253,Male,1969,Cagayan de Oro,Gold,12/10/2020
LC000254,Female,1961,Zamboanga City,Gold,11/16/2020
LC000255,Male,1967,Taguig,Platinum,4/10/2025
LC000256,Female,2006,Caloocan,Blue,11/26/2024
LC000257,Female,1967,Iligan,Blue,3/6/2020
LC000258,Female,1978,Pasig,Platinum,1/16/2021
LC000259,Female,1997,Makati,Gold,5/25/2020
LC000260,Male,1994,Cebu City,Blue,4/6/2025
LC000261,Male,1989,Taguig,Blue,8/16/2020
LC000262,Male,2006,Makati,Blue,6/26/2023
LC000263,Male,1977,Iligan,Silver,11/13/2025
LC000264,Female,1971,Malolos,Blue,2/4/2021
LC000265,Male,1985,Calamba,Silver,1/24/2021
LC000266,Male,1986,Cebu City,Blue,10/26/2022
LC000267,Female,1966,Tagum,Blue,12/12/2021
LC000268,Male,1967,Pasig,Blue,5/7/2024
LC000269,Male,1989,Laoag,Blue,4/9/2024
LC000270,Male,1979,Malolos,Blue,2/26/2020
LC000271,Female,1975,Bacolod,Blue,5/1/2021
LC000272,Male,2003,Batangas City,Platinum,5/26/2022
LC000273,Male,1989,Cagayan de Oro,Blue,6/8/2023
LC000274,Male,1977,Mandaue,Blue,3/25/2021
LC000275,Male,1969,Antipolo,Silver,4/15/2025
LC000276,Male,1971,Caloocan,Blue,3/6/2024
LC000277,Male,1964,San Fernando,Silver,4/26/2023
LC000278,Male,1995,Bacolod,Silver,12/11/2021
LC000279,Male,1979,Lapu-Lapu,Blue,5/2/2022
LC000280,Male,1966,Cagayan de Oro,Gold,6/16/2020
LC000281,Female,1961,Laoag,Gold,4/10/2024
LC000282,Male,1959,Cagayan de Oro,Platinum,6/23/2025
LC000283,Female,1994,Zamboanga City,Silver,3/4/2022
LC000284,Male,1971,Lapu-Lapu,Blue,5/17/2021
LC000285,Female,1980,Laoag,Blue,6/5/2024
LC000286,Male,1988,Mandaue,Silver,6/13/2024
LC000287,Male,1972,San Fernando,Blue,11/15/2020
LC000288,Male,2006,Iloilo City,Silver,5/15/2023
LC000289,Female,1974,Cebu City,Blue,2/28/2021
LC000290,Female,1971,Iligan,Silver,12/1/2020
LC000291,Female,1988,San Fernando,Blue,3/23/2022
LC000292,Female,1977,Caloocan,Blue,12/23/2024
LC000293,Female,1958,Manila,Blue,3/1/2020
LC000294,Female,1965,Tacloban,Blue,4/1/2020
LC000295,Female,2005,Lapu-Lapu,Blue,10/4/2025
LC000296,Female,2006,Pasig,Blue,12/25/2024
LC000297,Female,1970,Dagupan,Silver,7/17/2025
LC000298,Male,1972,Cagayan de Oro,Blue,10/28/2022
LC000299,Female,1968,Davao City,Blue,7/26/2025
LC000300,Female,1999,Laoag,Blue,2/4/2024
LC000301,Male,1990,Tagum,Blue,12/23/2022
LC000302,Male,1998,Cagayan de Oro,Silver,4/23/2024
LC000303,Female,1987,Manila,Blue,8/20/2024
LC000304,Male,1984,Tagum,Silver,12/28/2023
LC000305,Female,1996,Makati,Blue,9/17/2024
LC000306,Male,1995,Bacolod,Silver,8/5/2022
LC000307,Female,1971,Iloilo City,Blue,8/17/2021
LC000308,Female,1995,Makati,Blue,8/8/2023
LC000309,Male,1977,Tacloban,Blue,9/13/2020
LC000310,Male,1986,Davao City,Platinum,8/19/2021
LC000311,Female,1971,Calamba,Gold,3/21/2023
LC000312,Female,1991,Cebu City,Gold,3/8/2022
LC000313,Male,1979,Cebu City,Blue,10/16/2023
LC000314,Female,1961,Tagum,Blue,2/16/2020
LC000315,Male,1999,Pasig,Blue,7/17/2022
LC000316,Male,1995,San Fernando,Silver,1/3/2022
LC000317,Male,1993,San Fernando,Gold,2/15/2020
LC000318,Male,1959,Bacolod,Silver,7/5/2025
LC000319,Female,1992,Caloocan,Blue,11/21/2021
LC000320,Female,1992,Calamba,Silver,12/20/2023
LC000321,Female,1979,Cagayan de Oro,Blue,2/13/2021
LC000322,Female,1963,Batangas City,Silver,1/6/2024
LC000323,Female,1965,Cagayan de Oro,Silver,2/6/2022
LC000324,Female,1992,Batangas City,Gold,6/8/2022
LC000325,Female,1967,Tagum,Silver,12/9/2021
LC000326,Male,1986,Manila,Gold,9/4/2023
LC000327,Female,1998,Lapu-Lapu,Silver,11/1/2024
LC000328,Male,1962,Iloilo City,Blue,4/13/2025
LC000329,Male,1975,Bacolod,Silver,4/6/2025
LC000330,Female,1998,Caloocan,Platinum,6/3/2025
LC000331,Male,1992,Cebu City,Blue,2/15/2024
LC000332,Female,2003,Lapu-Lapu,Platinum,10/5/2025
LC000333,Male,1964,Cagayan de Oro,Gold,9/20/2021
LC000334,Male,1983,Caloocan,Blue,4/26/2022
LC000335,Female,2006,Calamba,Silver,1/10/2023
LC000336,Female,1997,Tagum,Blue,10/24/2021
LC000337,Male,1979,Bacolod,Blue,7/4/2021
LC000338,Female,1959,Davao City,Silver,3/10/2021
LC000339,Female,1972,Quezon City,Silver,7/13/2021
LC000340,Male,1979,Davao City,Silver,6/24/2023
LC000341,Male,1984,Davao City,Blue,8/10/2023
LC000342,Female,1964,Cebu City,Platinum,7/10/2022
LC000343,Male,2003,Batangas City,Silver,8/21/2025
LC000344,Male,1990,Antipolo,Platinum,1/26/2022
LC000345,Male,1967,Pasig,Blue,8/2/2024
LC000346,Male,2004,Dagupan,Silver,12/14/2021
LC000347,Male,1997,Cebu City,Silver,7/27/2024
LC000348,Female,1963,Quezon City,Blue,6/8/2021
LC000349,Male,1964,Makati,Blue,9/17/2025
LC000350,Female,1960,Caloocan,Platinum,6/6/2025
LC000351,Male,1974,Dagupan,Gold,8/3/2020
LC000352,Male,1987,Manila,Silver,10/22/2020
LC000353,Male,1983,Lapu-Lapu,Blue,12/9/2025
LC000354,Male,1962,Quezon City,Silver,8/12/2024
LC000355,Female,1965,Calamba,Gold,8/23/2024
LC000356,Male,1989,Davao City,Blue,11/14/2021
LC000357,Female,1958,Tacloban,Silver,1/14/2025
LC000358,Male,1973,Malolos,Gold,1/10/2020
LC000359,Male,1969,Pasig,Gold,12/27/2020
LC000360,Female,1971,Laoag,Blue,12/1/2023
LC000361,Male,2001,Iligan,Blue,12/9/2021
LC000362,Female,1984,Tacloban,Blue,10/15/2022
LC000363,Male,1986,Dagupan,Gold,9/3/2024
LC000364,Female,1984,Batangas City,Silver,3/4/2021
LC000365,Male,1988,Manila,Silver,1/9/2023
LC000366,Male,1989,Antipolo,Blue,8/14/2023
LC000367,Male,1989,Davao City,Blue,12/25/2020
LC000368,Female,1965,Tagum,Platinum,10/9/2023
LC000369,Female,2004,Mandaue,Blue,10/17/2023
LC000370,Male,1968,Batangas City,Blue,6/21/2025
LC000371,Male,1987,Manila,Blue,8/17/2020
LC000372,Male,1994,Batangas City,Blue,5/9/2020
LC000373,Female,1969,Malolos,Silver,12/2/2020
LC000374,Male,2006,Calamba,Silver,2/17/2020
LC000375,Female,1999,Zamboanga City,Silver,8/8/2021
LC000376,Male,1988,Tagum,Gold,11/13/2020
LC000377,Male,1993,Laoag,Silver,8/25/2023
LC000378,Female,2006,Batangas City,Gold,3/6/2022
LC000379,Male,1992,Laoag,Blue,9/6/2022
LC000380,Male,1984,Davao City,Silver,5/1/2020
LC000381,Female,2003,Pasig,Blue,7/11/2021
LC000382,Male,1992,Laoag,Silver,7/5/2024
LC000383,Male,1987,Iloilo City,Blue,1/24/2024
LC000384,Male,1992,Lapu-Lapu,Blue,5/9/2020
LC000385,Male,1971,Pasig,Gold,11/5/2020
LC000386,Female,1963,Lapu-Lapu,Silver,8/26/2020
LC000387,Male,1966,Pasig,Blue,10/19/2020
LC000388,Female,1985,Antipolo,Silver,7/22/2021
LC000389,Male,1966,Taguig,Blue,3/19/2021
LC000390,Male,1980,Pasig,Blue,1/2/2021
LC000391,Male,1981,Calamba,Gold,12/20/2022
LC000392,Female,1993,Iloilo City,Blue,2/2/2020
LC000393,Female,1993,Mandaue,Gold,7/9/2022
LC000394,Male,1973,Iloilo City,Gold,4/11/2022
LC000395,Male,1984,Zamboanga City,Blue,9/25/2020
LC000396,Female,1990,Iloilo City,Blue,9/21/2024
LC000397,Male,1965,Davao City,Silver,1/23/2022
LC000398,Female,2004,Zamboanga City,Blue,6/6/2022
LC000399,Male,1958,Makati,Blue,11/11/2024
LC000400,Male,1959,Iloilo City,Blue,6/28/2022
LC000401,Male,2001,Iligan,Blue,12/1/2024
LC000402,Male,1969,Makati,Blue,1/14/2023
LC000403,Male,1980,Mandaue,Blue,9/13/2023
LC000404,Female,1992,Calamba,Blue,1/1/2023
LC000405,Female,1964,Tacloban,Silver,10/6/2021
LC000406,Female,1964,Bacolod,Blue,2/28/2021
LC000407,Female,1970,Iligan,Blue,1/13/2022
LC000408,Female,1976,Manila,Silver,2/19/2022
LC000409,Female,1973,Bacolod,Silver,4/24/2021
LC000410,Male,1985,Cagayan de Oro,Blue,6/12/2020
LC000411,Female,1966,Dagupan,Blue,10/27/2021
LC000412,Female,1983,Mandaue,Silver,11/22/2023
LC000413,Male,1976,Dagupan,Silver,3/9/2022
LC000414,Male,2005,Cebu City,Blue,7/17/2022
LC000415,Female,1964,Laoag,Silver,4/3/2025
LC000416,Male,1992,Laoag,Blue,2/8/2024
LC000417,Male,2005,Manila,Gold,4/17/2023
LC000418,Female,2005,Cebu City,Blue,1/20/2023
LC000419,Male,1989,Batangas City,Silver,4/15/2020
LC000420,Male,1968,Mandaue,Blue,7/15/2022
LC000421,Male,1993,San Fernando,Blue,8/27/2020
LC000422,Female,1982,Tacloban,Gold,2/23/2022
LC000423,Female,1972,Tagum,Platinum,6/9/2022
LC000424,Male,1970,San Fernando,Silver,12/16/2023
LC000425,Male,2000,Cebu City,Blue,6/21/2025
LC000426,Female,1988,Makati,Blue,8/28/2021
LC000427,Male,1978,Calamba,Silver,4/11/2021
LC000428,Male,1975,Davao City,Blue,1/5/2025
LC000429,Male,1988,Taguig,Blue,1/27/2025
LC000430,Female,1959,Tacloban,Blue,7/18/2025
LC000431,Male,1985,Cebu City,Blue,4/16/2024
LC000432,Female,1990,Batangas City,Gold,10/7/2023
LC000433,Female,2005,Antipolo,Blue,5/6/2021
LC000434,Male,1960,Cebu City,Gold,8/13/2022
LC000435,Female,1989,Tacloban,Blue,5/20/2021
LC000436,Female,1984,Cagayan de Oro,Silver,5/16/2023
LC000437,Male,1966,Iligan,Silver,1/15/2024
LC000438,Female,1964,Calamba,Silver,4/14/2020
LC000439,Female,2005,San Fernando,Gold,10/18/2021
LC000440,Female,1960,Malolos,Gold,12/21/2023
LC000441,Male,1984,Cagayan de Oro,Silver,3/20/2022
LC000442,Female,1977,Lapu-Lapu,Blue,6/19/2023
LC000443,Female,1993,Quezon City,Platinum,11/1/2024
LC000444,Male,1964,Calamba,Blue,1/15/2023
LC000445,Male,1965,Tacloban,Blue,8/5/2021
LC000446,Female,2003,Batangas City,Gold,1/19/2024
LC000447,Male,1966,Tagum,Silver,9/5/2020
LC000448,Male,1991,Malolos,Silver,5/19/2022
LC000449,Female,1974,Lapu-Lapu,Blue,1/4/2021
LC000450,Male,2000,Malolos,Blue,4/2/2025
LC000451,Male,2003,Antipolo,Blue,10/28/2025
LC000452,Male,1987,Cebu City,Blue,4/12/2022
LC000453,Male,1972,San Fernando,Silver,8/5/2021
LC000454,Female,1988,Zamboanga City,Blue,1/4/2022
LC000455,Male,1990,Davao City,Gold,12/18/2022
LC000456,Female,1966,Calamba,Silver,9/10/2024
LC000457,Female,1975,Iligan,Blue,1/23/2020
LC000458,Male,2001,Batangas City,Blue,7/13/2020
LC000459,Male,1991,Manila,Silver,6/18/2022
LC000460,Male,1981,Pasig,Silver,11/26/2021
LC000461,Female,2003,Cagayan de Oro,Blue,2/8/2022
LC000462,Male,2006,Tagum,Gold,12/20/2023
LC000463,Male,1984,Dagupan,Blue,10/28/2020
LC000464,Female,1978,Laoag,Gold,4/21/2020
LC000465,Male,1972,Cebu City,Silver,3/25/2024
LC000466,Female,1993,San Fernando,Silver,3/15/2023
LC000467,Male,1975,Tagum,Silver,5/3/2025
LC000468,Male,1969,San Fernando,Blue,9/18/2025
LC000469,Male,1959,Batangas City,Blue,12/12/2024
LC000470,Female,1985,Bacolod,Blue,5/24/2023
LC000471,Female,1985,Taguig,Blue,1/3/2020
LC000472,Male,1969,Taguig,Blue,7/4/2025
LC000473,Female,1991,Quezon City,Blue,1/4/2025
LC000474,Female,2000,Dagupan,Silver,4/4/2024
LC000475,Female,1985,Manila,Blue,3/17/2023
LC000476,Female,1989,Batangas City,Gold,12/16/2020
LC000477,Female,1982,Quezon City,Blue,4/2/2020
LC000478,Male,1991,Tacloban,Silver,8/5/2021
LC000479,Female,1968,Davao City,Blue,9/28/2022
LC000480,Male,1964,Cagayan de Oro,Blue,9/6/2024
LC000481,Female,1968,Laoag,Gold,10/12/2020
LC000482,Female,1994,Iloilo City,Platinum,9/6/2020
LC000483,Female,1961,Cebu City,Blue,6/15/2024
LC000484,Male,1987,Tagum,Gold,4/1/2021
LC000485,Male,1958,Quezon City,Blue,8/19/2022
LC000486,Female,1991,Quezon City,Gold,6/1/2022
LC000487,Male,1979,Mandaue,Blue,4/19/2024
LC000488,Female,1974,Iligan,Silver,3/15/2023
LC000489,Male,1968,Mandaue,Blue,12/11/2021
LC000490,Male,1992,Pasig,Blue,1/13/2020
LC000491,Male,1990,Taguig,Blue,7/15/2021
LC000492,Male,1978,Zamboanga City,Silver,6/20/2025
LC000493,Male,1998,Zamboanga City,Blue,4/17/2022
LC000494,Male,1974,Lapu-Lapu,Blue,1/14/2023
LC000495,Male,1981,Tagum,Gold,11/13/2020
LC000496,Male,1990,Taguig,Silver,9/13/2020
LC000497,Male,1996,Zamboanga City,Silver,11/20/2025
